Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,0
Sample Interval,1e-06
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,12.2192
Vertical Scale,0.001
Vertical Position,5
,
,
,
Label,
TIME,CH1
-4.765e-03,12.2133
-4.764e-03,12.2135
-4.763e-03,12.2135
-4.762e-03,12.2132
-4.761e-03,12.2134
-4.760e-03,12.2131
-4.759e-03,12.2134
-4.758e-03,12.2131
-4.757e-03,12.2133
-4.756e-03,12.213
-4.755e-03,12.2131
-4.754e-03,12.2131
-4.753e-03,12.2132
-4.752e-03,12.2131
-4.751e-03,12.2133
-4.750e-03,12.2132
-4.749e-03,12.2134
-4.748e-03,12.2131
-4.747e-03,12.2132
-4.746e-03,12.2132
-4.745e-03,12.2132
-4.744e-03,12.2132
-4.743e-03,12.213
-4.742e-03,12.213
-4.741e-03,12.2131
-4.740e-03,12.2132
-4.739e-03,12.2132
-4.738e-03,12.2133
-4.737e-03,12.2132
-4.736e-03,12.2132
-4.735e-03,12.2131
-4.734e-03,12.2133
-4.733e-03,12.2131
-4.732e-03,12.2135
-4.731e-03,12.2132
-4.730e-03,12.2131
-4.729e-03,12.2133
-4.728e-03,12.2132
-4.727e-03,12.213
-4.726e-03,12.2132
-4.725e-03,12.2131
-4.724e-03,12.2131
-4.723e-03,12.2131
-4.722e-03,12.2132
-4.721e-03,12.213
-4.720e-03,12.213
-4.719e-03,12.213
-4.718e-03,12.2128
-4.717e-03,12.2129
-4.716e-03,12.2129
-4.715e-03,12.213
-4.714e-03,12.2129
-4.713e-03,12.2133
-4.712e-03,12.2131
-4.711e-03,12.2131
-4.710e-03,12.2132
-4.709e-03,12.2134
-4.708e-03,12.2133
-4.707e-03,12.2132
-4.706e-03,12.2134
-4.705e-03,12.2134
-4.704e-03,12.2132
-4.703e-03,12.2133
-4.702e-03,12.2134
-4.701e-03,12.2134
-4.700e-03,12.2135
-4.699e-03,12.2133
-4.698e-03,12.2135
-4.697e-03,12.2134
-4.696e-03,12.2134
-4.695e-03,12.2134
-4.694e-03,12.2134
-4.693e-03,12.2131
-4.692e-03,12.213
-4.691e-03,12.2131
-4.690e-03,12.213
-4.689e-03,12.2128
-4.688e-03,12.213
-4.687e-03,12.2131
-4.686e-03,12.2131
-4.685e-03,12.2132
-4.684e-03,12.213
-4.683e-03,12.2133
-4.682e-03,12.2131
-4.681e-03,12.2135
-4.680e-03,12.2131
-4.679e-03,12.2132
-4.678e-03,12.2132
-4.677e-03,12.2131
-4.676e-03,12.2131
-4.675e-03,12.2133
-4.674e-03,12.2132
-4.673e-03,12.2133
-4.672e-03,12.2128
-4.671e-03,12.213
-4.670e-03,12.2129
-4.669e-03,12.2132
-4.668e-03,12.213
-4.667e-03,12.213
-4.666e-03,12.213
-4.665e-03,12.213
-4.664e-03,12.213
-4.663e-03,12.2128
-4.662e-03,12.213
-4.661e-03,12.2131
-4.660e-03,12.213
-4.659e-03,12.2129
-4.658e-03,12.2131
-4.657e-03,12.2132
-4.656e-03,12.2133
-4.655e-03,12.2132
-4.654e-03,12.2132
-4.653e-03,12.2131
-4.652e-03,12.2132
-4.651e-03,12.213
-4.650e-03,12.2133
-4.649e-03,12.2133
-4.648e-03,12.2133
-4.647e-03,12.2133
-4.646e-03,12.2131
-4.645e-03,12.2134
-4.644e-03,12.2132
-4.643e-03,12.2131
-4.642e-03,12.2131
-4.641e-03,12.213
-4.640e-03,12.2126
-4.639e-03,12.213
-4.638e-03,12.2129
-4.637e-03,12.213
-4.636e-03,12.2131
-4.635e-03,12.2132
-4.634e-03,12.2129
-4.633e-03,12.2134
-4.632e-03,12.2132
-4.631e-03,12.2134
-4.630e-03,12.2133
-4.629e-03,12.2135
-4.628e-03,12.2133
-4.627e-03,12.2132
-4.626e-03,12.2134
-4.625e-03,12.2133
-4.624e-03,12.2134
-4.623e-03,12.2132
-4.622e-03,12.213
-4.621e-03,12.2131
-4.620e-03,12.2131
-4.619e-03,12.2131
-4.618e-03,12.2131
-4.617e-03,12.2131
-4.616e-03,12.2131
-4.615e-03,12.213
-4.614e-03,12.2131
-4.613e-03,12.213
-4.612e-03,12.213
-4.611e-03,12.2131
-4.610e-03,12.2131
-4.609e-03,12.2132
-4.608e-03,12.2134
-4.607e-03,12.2133
-4.606e-03,12.2133
-4.605e-03,12.2131
-4.604e-03,12.2134
-4.603e-03,12.2133
-4.602e-03,12.2132
-4.601e-03,12.2133
-4.600e-03,12.2134
-4.599e-03,12.2132
-4.598e-03,12.2133
-4.597e-03,12.2135
-4.596e-03,12.2132
-4.595e-03,12.2133
-4.594e-03,12.2131
-4.593e-03,12.2134
-4.592e-03,12.2132
-4.591e-03,12.2132
-4.590e-03,12.2132
-4.589e-03,12.2132
-4.588e-03,12.2132
-4.587e-03,12.2131
-4.586e-03,12.2129
-4.585e-03,12.2133
-4.584e-03,12.2131
-4.583e-03,12.213
-4.582e-03,12.2132
-4.581e-03,12.2132
-4.580e-03,12.2133
-4.579e-03,12.2131
-4.578e-03,12.2131
-4.577e-03,12.2133
-4.576e-03,12.2134
-4.575e-03,12.2133
-4.574e-03,12.2132
-4.573e-03,12.2132
-4.572e-03,12.2132
-4.571e-03,12.213
-4.570e-03,12.2132
-4.569e-03,12.2132
-4.568e-03,12.2131
-4.567e-03,12.213
-4.566e-03,12.213
-4.565e-03,12.2133
-4.564e-03,12.2132
-4.563e-03,12.2131
-4.562e-03,12.213
-4.561e-03,12.2132
-4.560e-03,12.2131
-4.559e-03,12.2132
-4.558e-03,12.213
-4.557e-03,12.2131
-4.556e-03,12.2132
-4.555e-03,12.2132
-4.554e-03,12.2133
-4.553e-03,12.2132
-4.552e-03,12.2129
-4.551e-03,12.2132
-4.550e-03,12.2132
-4.549e-03,12.2131
-4.548e-03,12.2131
-4.547e-03,12.2131
